,name,Hosting team,visiting team,distance (in km),time plane (in seconds),fuel consumption (in kg),Emission plane (in kg),distance autocar (in km),time autocar (in sec),Emission autocar (in kg),Total time (in seconds),Total emission (aller-retour)
99,Lille;-Strasbourg,Lille,Strasbourg,410.0394510926723,2803.964797427638,2507.1165222634368,14608.843508451348,62.211,4076,93.3165,6879.964797427638,32950.3470169027
100,Lille;-Saint-Étienne,Lille,Saint-Étienne,566.8900823792654,3483.547935091167,2973.5131839877654,17326.51370187481,21.978,1447,32.967,4930.547935091166,35971.70740374962
101,Lille;-Toulouse,Lille,Toulouse,782.2522093109022,4416.642489786802,3613.8942665429113,21057.982477955007,23.846,1814,35.769,6230.642489786802,43546.72495591002
102,Lyon;-Angers,Lyon,Angers,460.26729845759377,3021.5858412854054,2656.469445770611,15479.115579043506,43.321,2190,64.9815,5211.585841285405,33557.49115808701
103,Lyon;-Auxerre,Lyon,Auxerre,265.071328905798,2175.8647347830915,2076.052600557806,12097.055437009174,27.578,1970,41.367,4145.864734783092,25848.79087401835
104,Lyon;-Brest,Lyon,Brest,780.3542342773684,4408.419176830291,3608.2506219339275,21025.0972409994,26.717999999999996,1685,40.07699999999999,6093.419176830291,43653.2744819988
105,Lyon;-Le Havre,Lyon,Le Havre,548.4206550114073,3403.525870158806,2918.594187502571,17006.503435830586,48.974,2673,73.46099999999998,6076.525870158806,36951.446871661174
106,Lyon;-Lens,Lyon,Lens,558.3958792948258,3446.7452959387156,2948.255600195498,17179.33901503987,53.364,2877,80.04599999999999,6323.745295938716,37560.51803007974
107,Lyon;-Lille,Lyon,Lille,558.3958792948258,3446.7452959387156,2948.255600195498,17179.33901503987,24.651,1573,36.9765,5019.745295938716,35837.73803007974
108,Lyon;-Marseille,Lyon,Marseille,254.28087744779583,2129.1131928958516,2043.9671030546742,11910.094835955466,45.968999999999994,2564,68.95349999999999,4693.113192895851,26578.32967191093
109,Lyon;-Monaco,Lyon,Monaco,284.367066149662,2259.466933589396,2133.4286363584165,12431.382749163655,50.419,3092,75.6285,5351.466933589396,27887.90549832731
110,Lyon;-Montpellier,Lyon,Montpellier,254.40279832725557,2129.6414366978074,2044.3296358077023,11912.20729630928,38.224999999999994,2679,57.337499999999984,4808.641436697808,26117.91459261856
111,Lyon;-Nantes,Lyon,Nantes,536.3904868888246,3351.4030362734484,2882.822382146537,16798.06290192621,39.887,2214,59.83050000000001,5565.403036273448,35989.34580385242
112,Lyon;-Nice,Lyon,Nice,284.367066149662,2259.466933589396,2133.4286363584165,12431.382749163655,23.726,1636,35.589,3895.466933589396,26286.32549832731
113,Lyon;-Paris Saint-Germain,Lyon,Paris Saint-Germain,392.125394122963,2726.348973099115,2453.848924294094,14298.455859574666,37.748999999999995,2657,56.62349999999999,5383.348973099115,30861.85171914933
114,Lyon;-Reims,Lyon,Reims,421.52110604266323,2853.711100853271,2541.2573191210654,14807.780236807572,62.958,3093,94.437,5946.711100853271,33393.04047361515
115,Lyon;-Rennes,Lyon,Rennes,579.8615552771354,3539.7491386167367,3012.0839669523557,17551.263739347913,25.217999999999996,1662,37.82699999999999,5201.749138616737,36615.60747869583
