,Hosting team,visiting team,Time,emission_carbone
184,Nantes,Strasbourg,4243.341450328804,45274.834456740304
185,Nantes,Saint-Étienne,3136.9881181922174,34012.184419165016
186,Nantes,Toulouse,3000.1023809960056,33029.4453535774
187,Nice,Angers,4183.071727046408,42212.31415452331
188,Nice,Auxerre,3398.165126673929,34990.0113735035
189,Nice,Brest,5542.430047053369,52088.350911302834
190,Nice,Le Havre,4633.923856902262,46157.43234528927
191,Nice,Lens,4616.762256319909,46283.57299381551
192,Nice,Lille,4616.762256319909,44560.79299381552
193,Nice,Lyon,2259.466933589396,26674.16549832731
194,Nice,Marseille,1733.660464223324,22780.678700310127
195,Nice,Monaco,1027.3962592351656,17398.941784390485
196,Nice,Montpellier,2161.1279741813405,25734.945515637944
197,Nice,Nantes,4448.421818224954,44128.55763582762
198,Nice,Paris Saint-Germain,3953.9195745405455,40045.22362179609
199,Nice,Reims,3986.4160490022846,41817.67207196644
200,Nice,Rennes,4699.426958778162,45255.96947480591
201,Nice,Strasbourg,3510.019397628466,38484.667503107245
202,Nice,Saint-Étienne,2375.114491519529,26993.660529464487
203,Nice,Toulouse,3066.3521747507266,32634.294562594765
204,Paris Saint-Germain,Angers,2058.081903036087,25947.457814645037
205,Paris Saint-Germain,Auxerre,1586.2669150478234,21229.277621813268
206,Paris Saint-Germain,Brest,3195.6653692018017,34049.72804741286
207,Paris Saint-Germain,Le Havre,1791.359248876989,24153.37650503948
208,Paris Saint-Germain,Lens,1940.9691992723624,25613.36447285447
209,Paris Saint-Germain,Lille,1940.9691992723624,23890.584472854476
210,Paris Saint-Germain,Lyon,2726.348973099115,31139.23171914933
211,Paris Saint-Germain,Marseille,3747.281314085653,39616.64033904578
212,Paris Saint-Germain,Monaco,3953.9195745405455,41536.34362179609
213,Paris Saint-Germain,Montpellier,3564.757582860276,37692.166283571496
214,Paris Saint-Germain,Nantes,2515.012274327817,29395.970088554684
215,Paris Saint-Germain,Nice,3953.9195745405455,39934.76362179609
216,Paris Saint-Germain,Reims,1753.4545957038351,24689.253167364852
217,Paris Saint-Germain,Rennes,2382.8315238048185,27458.64174490113
218,Paris Saint-Germain,Strasbourg,2840.884907304672,33863.81592738302
219,Paris Saint-Germain,Saint-Étienne,2691.734445691664,30256.922974143403
220,Paris Saint-Germain,Toulouse,3506.6198635215974,36886.4978569794
221,Reims,Angers,2784.027203534598,33491.62513019966
222,Reims,Auxerre,1863.5374010072808,25184.92102488581
223,Reims,Brest,3849.3961788433935,41016.32020414338
224,Reims,Le Havre,2348.1753135209256,30344.839618136284
225,Reims,Lens,1680.7366527526135,25270.031373167752
226,Reims,Lille,1680.7366527526135,23547.251373167757
227,Reims,Lyon,2853.711100853271,33895.90047361514
228,Reims,Marseille,3953.001438129075,43000.02032023176
229,Reims,Monaco,3986.4160490022846,43534.27207196644
230,Reims,Montpellier,3874.5823723686,41908.180656784905
231,Reims,Nantes,3240.86782933351,36939.41961510805
232,Reims,Nice,3986.4160490022846,41932.692071966434
233,Reims,Paris Saint-Germain,1753.4545957038351,24914.73316736486
234,Reims,Rennes,3084.5674507597746,34809.181263547856
235,Reims,Strasbourg,2246.9856729807875,30851.799743235784
236,Reims,Saint-Étienne,2931.17499916392,33910.00065937558
237,Reims,Toulouse,4016.2727326185736,42700.74734112934
238,Rennes,Angers,1546.257382433731,21240.77935166208
239,Rennes,Auxerre,2721.170738036658,29693.21593260653
240,Rennes,Brest,1907.272111417417,23132.013455899545
241,Rennes,Le Havre,1900.0498130793596,24409.609147653668
242,Rennes,Lens,2969.7105697629213,33228.210106606806
243,Rennes,Lille,2969.7105697629213,31505.430106606807
244,Rennes,Lyon,3539.7491386167367,37031.76747869582
245,Rennes,Marseille,4252.252670939814,43042.34685094604
246,Rennes,Monaco,4699.426958778162,46885.86947480591
