Id,Visiting team,Hosting team,étape,transport,emissions_kg_co2,travel_time_seconds,distance_km,alternative_emissions_kg_co2,alternative_emissions_kg_co2_wo_empty_bus,alternative_travel_time_seconds,alternative_distance_km,alternative_emissions_kg_co2_scenario<3,alternative_emissions_kg_co2_wo_empty_bus_scenario<3,alternative_travel_time_seconds_scenario<3,alternative_distance_km_scenario<3,alternative_emissions_kg_co2_scenario<6,alternative_emissions_kg_co2_wo_empty_bus_scenario<6,alternative_travel_time_seconds_scenario<6,alternative_distance_km_scenario<6
25,Lens,Monaco,retour,avion,9346.318320105409,8749.0,898.5723079310746,2359.7301239999997,620.193624,33463.0,1040.276,9346.318320105409,7606.78182010541,8749.0,898.5723079310746,9346.318320105409,7606.78182010541,8749.0,898.5723079310746
26,Marseille,Monaco,aller,bus,348.30899999999997,9029.0,232.206,348.30899999999997,348.30899999999997,9029.0,232.206,348.30899999999997,348.30899999999997,9029.0,232.206,348.30899999999997,348.30899999999997,9029.0,232.206
26,Marseille,Monaco,retour,bus,348.30899999999997,9029.0,232.206,348.30899999999997,348.30899999999997,9029.0,232.206,348.30899999999997,348.30899999999997,9029.0,232.206,348.30899999999997,348.30899999999997,9029.0,232.206
27,Reims,Monaco,aller,avion,8328.934712588813,9150.0,813.9993320818651,4846.420808,3358.666808,32449.0,1006.035,8328.934712588813,6841.180712588814,9150.0,813.9993320818651,8328.934712588813,6841.180712588814,9150.0,813.9993320818651
27,Reims,Monaco,retour,avion,8328.934712588813,9150.0,813.9993320818651,4846.420808,3358.666808,32449.0,1006.035,8328.934712588813,6841.180712588814,9150.0,813.9993320818651,8328.934712588813,6841.180712588814,9150.0,813.9993320818651
28,Rennes,Monaco,aller,avion,9515.437525492602,7691.0,888.2836815550352,2447.932036,631.9060360000001,34313.0,1187.526,9515.437525492602,7699.411525492601,7691.0,888.2836815550352,9515.437525492602,7699.411525492601,7691.0,888.2836815550352
28,Rennes,Monaco,retour,avion,9515.437525492602,7691.0,888.2836815550352,2447.932036,631.9060360000001,34313.0,1187.526,9515.437525492602,7699.411525492601,7691.0,888.2836815550352,9515.437525492602,7699.411525492601,7691.0,888.2836815550352
29,Toulouse,Monaco,aller,avion,5921.171553663816,6428.0,519.799522007808,876.2640000000001,876.2640000000001,21617.0,584.176,5921.171553663816,5044.907553663816,6428.0,519.799522007808,876.2640000000001,876.2640000000001,21617.0,584.176
29,Toulouse,Monaco,retour,avion,5921.171553663816,6428.0,519.799522007808,876.2640000000001,876.2640000000001,21617.0,584.176,5921.171553663816,5044.907553663816,6428.0,519.799522007808,876.2640000000001,876.2640000000001,21617.0,584.176
30,Montpellier,Monaco,aller,avion,4105.200401586399,6071.0,314.4741560966737,532.3185000000001,532.3185000000001,14844.0,354.879,532.3185000000001,532.3185000000001,14844.0,354.879,532.3185000000001,532.3185000000001,14844.0,354.879
30,Montpellier,Monaco,retour,avion,4105.200401586399,6071.0,314.4741560966737,532.3185000000001,532.3185000000001,14844.0,354.879,532.3185000000001,532.3185000000001,14844.0,354.879,532.3185000000001,532.3185000000001,14844.0,354.879
31,Strasbourg,Monaco,aller,avion,6720.926873935322,6977.0,593.1296048341783,1160.0055,1160.0055,30694.0,773.337,6720.926873935322,5560.921373935322,6977.0,593.1296048341783,6720.926873935322,5560.921373935322,6977.0,593.1296048341783
31,Strasbourg,Monaco,retour,avion,6720.926873935322,6977.0,593.1296048341783,1160.0055,1160.0055,30694.0,773.337,6720.926873935322,5560.921373935322,6977.0,593.1296048341783,6720.926873935322,5560.921373935322,6977.0,593.1296048341783
32,Nantes,Monaco,aller,avion,9435.302105935309,9238.0,925.3026710480674,2390.106304,636.5598040000001,35193.0,1206.223,9435.302105935309,7681.755605935308,9238.0,925.3026710480674,9435.302105935309,7681.755605935308,9238.0,925.3026710480674
32,Nantes,Monaco,retour,avion,9435.302105935309,9238.0,925.3026710480674,2390.106304,636.5598040000001,35193.0,1206.223,9435.302105935309,7681.755605935308,9238.0,925.3026710480674,9435.302105935309,7681.755605935308,9238.0,925.3026710480674
33,Le Havre,Monaco,aller,avion,9435.8175722954,8173.0,899.9244813413195,2439.390557,729.938057,36447.0,1057.278,9435.8175722954,7726.365072295401,8173.0,899.9244813413195,9435.8175722954,7726.365072295401,8173.0,899.9244813413195
33,Le Havre,Monaco,retour,avion,9435.8175722954,8173.0,899.9244813413195,2439.390557,729.938057,36447.0,1057.278,9435.8175722954,7726.365072295401,8173.0,899.9244813413195,9435.8175722954,7726.365072295401,8173.0,899.9244813413195
34,Auxerre,Monaco,aller,avion,6765.388958300589,6678.0,591.5290679708565,1186.2075,1186.2075,27625.0,790.805,6765.388958300589,5579.18145830059,6678.0,591.5290679708565,1186.2075,1186.2075,27625.0,790.805
34,Auxerre,Monaco,retour,avion,6765.388958300589,6678.0,591.5290679708565,1186.2075,1186.2075,27625.0,790.805,6765.388958300589,5579.18145830059,6678.0,591.5290679708565,1186.2075,1186.2075,27625.0,790.805
35,Angers,Monaco,aller,avion,8509.601641653375,7697.0,787.5242218283865,2219.66833,592.5628300000001,31725.0,1126.463,8509.601641653375,6882.496141653374,7697.0,787.5242218283865,8509.601641653375,6882.496141653374,7697.0,787.5242218283865
35,Angers,Monaco,retour,avion,8509.601641653375,7697.0,787.5242218283865,2219.66833,592.5628300000001,31725.0,1126.463,8509.601641653375,6882.496141653374,7697.0,787.5242218283865,8509.601641653375,6882.496141653374,7697.0,787.5242218283865
36,Saint-Étienne,Monaco,aller,avion,4680.6801339378635,5366.0,358.50097839652153,766.56,766.56,18594.0,511.04,4680.6801339378635,3914.120133937864,5366.0,358.50097839652153,766.56,766.56,18594.0,511.04
36,Saint-Étienne,Monaco,retour,avion,4680.6801339378635,5366.0,358.50097839652153,766.56,766.56,18594.0,511.04,4680.6801339378635,3914.120133937864,5366.0,358.50097839652153,766.56,766.56,18594.0,511.04
37,Paris Saint-Germain,Brest,aller,avion,6226.591827031644,6270.0,558.9047630032635,956.2308199999998,78.43682,15245.0,540.128,956.2308199999998,78.43682,15245.0,540.128,956.2308199999998,78.43682,15245.0,540.128
37,Paris Saint-Germain,Brest,retour,avion,6226.591827031644,6270.0,558.9047630032635,956.2308199999998,78.43682,15245.0,540.128,956.2308199999998,78.43682,15245.0,540.128,956.2308199999998,78.43682,15245.0,540.128
38,Monaco,Brest,aller,avion,11263.254689375732,8517.0,1085.4547719985105,2810.547786,624.5047860000001,43433.0,1393.562,11263.254689375732,9077.211689375732,8517.0,1085.4547719985105,11263.254689375732,9077.211689375732,8517.0,1085.4547719985105
38,Monaco,Brest,retour,avion,11263.254689375732,8517.0,1085.4547719985105,2810.547786,624.5047860000001,43433.0,1393.562,11263.254689375732,9077.211689375732,8517.0,1085.4547719985105,11263.254689375732,9077.211689375732,8517.0,1085.4547719985105
39,Brest,Brest,aller,/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Brest,Brest,retour,/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Lille,Brest,aller,avion,6978.119963377393,4991.0,608.8740109840087,1886.1720559999997,759.1725559999998,25046.0,753.616,6978.119963377393,5851.120463377393,4991.0,608.8740109840087,1886.1720559999997,759.1725559999998,25046.0,753.616
40,Lille,Brest,retour,avion,6978.119963377393,4991.0,608.8740109840087,1886.1720559999997,759.1725559999998,25046.0,753.616,6978.119963377393,5851.120463377393,4991.0,608.8740109840087,1886.1720559999997,759.1725559999998,25046.0,753.616
41,Nice,Brest,aller,avion,11184.933689375732,7029.0,1058.6927719985108,2772.369786,624.5047860000001,43433.0,1393.562,11184.933689375732,9037.068689375732,7029.0,1058.6927719985108,11184.933689375732,9037.068689375732,7029.0,1058.6927719985108
41,Nice,Brest,retour,avion,11184.933689375732,7029.0,1058.6927719985108,2772.369786,624.5047860000001,43433.0,1393.562,11184.933689375732,9037.068689375732,7029.0,1058.6927719985108,11184.933689375732,9037.068689375732,7029.0,1058.6927719985108
42,Lyon,Brest,aller,avion,8588.880759105738,6026.0,787.3916597058454,2046.5839919999999,568.191492,27419.0,948.023,8588.880759105738,7110.488259105738,6026.0,787.3916597058454,2046.5839919999999,568.191492,27419.0,948.023
42,Lyon,Brest,retour,avion,8588.880759105738,6026.0,787.3916597058454,2046.5839919999999,568.191492,27419.0,948.023,8588.880759105738,7110.488259105738,6026.0,787.3916597058454,2046.5839919999999,568.191492,27419.0,948.023
43,Lens,Brest,aller,avion,6993.941963377393,6258.0,637.5850109840087,1099.755,1099.755,26232.0,733.17,6993.941963377393,5894.186963377393,6258.0,637.5850109840087,1099.755,1099.755,26232.0,733.17
43,Lens,Brest,retour,avion,6993.941963377393,6258.0,637.5850109840087,1099.755,1099.755,26232.0,733.17,6993.941963377393,5894.186963377393,6258.0,637.5850109840087,1099.755,1099.755,26232.0,733.17
44,Marseille,Brest,aller,avion,10209.295493587704,7835.0,973.5493711326847,2508.687368,578.514368,30340.0,1205.491,10209.295493587704,8279.122493587704,7835.0,973.5493711326847,10209.295493587704,8279.122493587704,7835.0,973.5493711326847
44,Marseille,Brest,retour,avion,10209.295493587704,7835.0,973.5493711326847,2508.687368,578.514368,30340.0,1205.491,10209.295493587704,8279.122493587704,7835.0,973.5493711326847,10209.295493587704,8279.122493587704,7835.0,973.5493711326847
45,Reims,Brest,aller,avion,7086.585125849135,7194.0,676.2807594787345,1086.3315,1086.3315,25040.0,724.221,7086.585125849135,6000.253625849135,7194.0,676.2807594787345,1086.3315,1086.3315,25040.0,724.221
45,Reims,Brest,retour,avion,7086.585125849135,7194.0,676.2807594787345,1086.3315,1086.3315,25040.0,724.221,7086.585125849135,6000.253625849135,7194.0,676.2807594787345,1086.3315,1086.3315,25040.0,724.221
46,Rennes,Brest,aller,bus,357.546,8707.0,238.364,357.546,357.546,8707.0,238.364,357.546,357.546,8707.0,238.364,357.546,357.546,8707.0,238.364
46,Rennes,Brest,retour,bus,357.546,8707.0,238.364,357.546,357.546,8707.0,238.364,357.546,357.546,8707.0,238.364,357.546,357.546,8707.0,238.364
47,Toulouse,Brest,aller,avion,7936.475982313926,5945.0,722.0779126179388,1328.2815,1328.2815,29342.0,885.521,7936.475982313926,6608.194482313926,5945.0,722.0779126179388,7936.475982313926,6608.194482313926,5945.0,722.0779126179388
47,Toulouse,Brest,retour,avion,7936.475982313926,5945.0,722.0779126179388,1328.2815,1328.2815,29342.0,885.521,7936.475982313926,6608.194482313926,5945.0,722.0779126179388,7936.475982313926,6608.194482313926,5945.0,722.0779126179388
48,Montpellier,Brest,aller,avion,9333.657156786006,7127.0,871.9619323121884,2276.3349479999997,590.631948,32117.0,1211.782,9333.657156786006,7647.954156786007,7127.0,871.9619323121884,9333.657156786006,7647.954156786007,7127.0,871.9619323121884
48,Montpellier,Brest,retour,avion,9333.657156786006,7127.0,871.9619323121884,2276.3349479999997,590.631948,32117.0,1211.782,9333.657156786006,7647.954156786007,7127.0,871.9619323121884,9333.657156786006,7647.954156786007,7127.0,871.9619323121884
49,Strasbourg,Brest,aller,avion,9560.64927322253,7000.0,912.2868874080982,2451.6026880000004,841.6451880000001,27838.0,942.351,9560.64927322253,7950.69177322253,7000.0,912.2868874080982,2451.6026880000004,841.6451880000001,27838.0,942.351
49,Strasbourg,Brest,retour,avion,9560.64927322253,7000.0,912.2868874080982,2451.6026880000004,841.6451880000001,27838.0,942.351,9560.64927322253,7950.69177322253,7000.0,912.2868874080982,2451.6026880000004,841.6451880000001,27838.0,942.351
50,Nantes,Brest,aller,bus,441.64199999999994,10627.0,294.428,441.64199999999994,441.64199999999994,10627.0,294.428,441.64199999999994,441.64199999999994,10627.0,294.428,441.64199999999994,441.64199999999994,10627.0,294.428
50,Nantes,Brest,retour,bus,441.64199999999994,10627.0,294.428,441.64199999999994,441.64199999999994,10627.0,294.428,441.64199999999994,441.64199999999994,10627.0,294.428,441.64199999999994,441.64199999999994,10627.0,294.428
51,Le Havre,Brest,aller,avion,4840.276978872434,4545.0,376.41816191536634,682.8525,682.8525,16720.0,455.235,4840.276978872434,4157.424478872434,4545.0,376.41816191536634,682.8525,682.8525,16720.0,455.235
51,Le Havre,Brest,retour,avion,4840.276978872434,4545.0,376.41816191536634,682.8525,682.8525,16720.0,455.235,4840.276978872434,4157.424478872434,4545.0,376.41816191536634,682.8525,682.8525,16720.0,455.235
52,Auxerre,Brest,aller,avion,6927.8428140416,5405.0,611.4831951181473,1598.7027700000003,524.0622700000002,23860.0,688.935,6927.8428140416,5853.2023140416,5405.0,611.4831951181473,1598.7027700000003,524.0622700000002,23860.0,688.935
52,Auxerre,Brest,retour,avion,6927.8428140416,5405.0,611.4831951181473,1598.7027700000003,524.0622700000002,23860.0,688.935,6927.8428140416,5853.2023140416,5405.0,611.4831951181473,1598.7027700000003,524.0622700000002,23860.0,688.935
53,Angers,Brest,aller,bus,564.1125,13632.0,376.075,564.1125,564.1125,13632.0,376.075,564.1125,564.1125,13632.0,376.075,564.1125,564.1125,13632.0,376.075
53,Angers,Brest,retour,bus,564.1125,13632.0,376.075,564.1125,564.1125,13632.0,376.075,564.1125,564.1125,13632.0,376.075,564.1125,564.1125,13632.0,376.075
54,Saint-Étienne,Brest,aller,avion,8297.301633461544,5742.0,759.0732991172944,1968.650902,550.948402,29565.0,982.82,8297.301633461544,6879.599133461545,5742.0,759.0732991172944,8297.301633461544,6879.599133461545,5742.0,759.0732991172944
54,Saint-Étienne,Brest,retour,avion,8297.301633461544,5742.0,759.0732991172944,1968.650902,550.948402,29565.0,982.82,8297.301633461544,6879.599133461545,5742.0,759.0732991172944,8297.301633461544,6879.599133461545,5742.0,759.0732991172944
55,Paris Saint-Germain,Lille,aller,bus,340.4085,9056.0,226.939,401.642736,61.234236,6631.0,226.934,401.642736,61.234236,6631.0,226.934,401.642736,61.234236,6631.0,226.934
55,Paris Saint-Germain,Lille,retour,bus,340.4085,9056.0,226.939,401.642736,61.234236,6631.0,226.934,401.642736,61.234236,6631.0,226.934,401.642736,61.234236,6631.0,226.934
56,Monaco,Lille,aller,avion,9331.98132010541,7482.0,869.8613079310746,2396.788702,628.522702,30338.0,1073.445,9331.98132010541,7563.715320105409,7482.0,869.8613079310746,9331.98132010541,7563.715320105409,7482.0,869.8613079310746
56,Monaco,Lille,retour,avion,9331.98132010541,7482.0,869.8613079310746,2396.788702,628.522702,30338.0,1073.445,9331.98132010541,7563.715320105409,7482.0,869.8613079310746,9331.98132010541,7563.715320105409,7482.0,869.8613079310746
57,Brest,Lille,aller,avion,6978.119963377393,4991.0,608.8740109840087,1886.1720559999997,759.1725559999998,25046.0,753.616,6978.119963377393,5851.120463377393,4991.0,608.8740109840087,1886.1720559999997,759.1725559999998,25046.0,753.616
57,Brest,Lille,retour,avion,6978.119963377393,4991.0,608.8740109840087,1886.1720559999997,759.1725559999998,25046.0,753.616,6978.119963377393,5851.120463377393,4991.0,608.8740109840087,1886.1720559999997,759.1725559999998,25046.0,753.616
58,Lille,Lille,aller,/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Lille,Lille,retour,/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Nice,Lille,aller,avion,9253.661820105408,5994.0,843.0993079310747,2358.6122020000003,628.522702,30338.0,1073.445,9253.661820105408,7523.572320105409,5994.0,843.0993079310747,9253.661820105408,7523.572320105409,5994.0,843.0993079310747
59,Nice,Lille,retour,avion,9253.661820105408,5994.0,843.0993079310747,2358.6122020000003,628.522702,30338.0,1073.445,9253.661820105408,7523.572320105409,5994.0,843.0993079310747,9253.661820105408,7523.572320105409,5994.0,843.0993079310747
